event_id,user_id,event_type,event_date
1,1,save_item,2024-06-15
2,1,login,2024-05-13
3,1,login,2024-07-15
4,1,browse,2024-05-07
5,1,save_item,2024-06-04
6,1,checkout,2024-05-31
7,1,cancel,2024-06-04
8,1,checkout,2024-07-14
9,1,search,2024-06-07
10,1,browse,2024-05-28
11,1,search,2024-07-21
12,1,save_item,2024-06-16
13,1,login,2024-07-23
14,1,browse,2024-07-18
15,1,search,2024-07-18
16,1,browse,2024-06-29
17,1,save_item,2024-06-13
18,1,browse,2024-05-19
19,1,browse,2024-06-29
20,1,browse,2024-08-08
21,1,checkout,2024-07-01
22,1,browse,2024-04-15
23,1,browse,2024-04-28
24,1,browse,2024-07-04
25,1,search,2024-05-15
26,1,browse,2024-06-16
27,1,search,2024-07-27
28,1,login,2024-06-25
29,1,login,2024-05-04
30,1,browse,2024-07-15
31,1,search,2024-04-27
32,1,save_item,2024-07-24
33,1,checkout,2024-05-06
34,1,browse,2024-06-17
35,1,login,2024-05-13
36,1,login,2024-06-01
37,1,browse,2024-04-16
38,1,login,2024-05-23
39,1,browse,2024-05-02
40,1,browse,2024-04-16
41,1,checkout,2024-07-10
42,1,browse,2024-05-30
43,1,browse,2024-05-26
44,1,save_item,2024-05-07
45,1,login,2024-07-06
46,1,login,2024-07-14
47,1,login,2024-05-29
48,1,checkout,2024-05-07
49,1,save_item,2024-04-19
50,1,login,2024-06-02
51,1,browse,2024-06-06
52,1,save_item,2024-07-10
53,1,browse,2024-06-28
54,1,login,2024-07-29
55,1,login,2024-06-09
56,1,save_item,2024-04-18
57,1,browse,2024-05-04
58,1,login,2024-07-31
59,1,browse,2024-04-29
60,1,browse,2024-07-19
61,1,login,2024-06-14
62,1,login,2024-07-21
63,1,browse,2024-05-20
64,1,login,2024-07-23
65,1,login,2024-05-25
66,1,search,2024-04-24
67,1,browse,2024-06-18
68,1,browse,2024-07-25
69,1,search,2024-07-31
70,1,search,2024-07-06
71,1,search,2024-04-19
72,1,login,2024-07-28
73,1,browse,2024-05-22
74,1,search,2024-06-02
75,1,login,2024-07-18
76,1,cancel,2024-06-09
77,2,login,2024-03-07
78,2,browse,2024-03-24
79,2,login,2024-05-05
80,2,login,2024-03-29
81,2,login,2024-04-17
82,2,save_item,2024-03-09
83,2,browse,2024-01-17
84,2,save_item,2024-02-23
85,2,login,2024-02-07
86,2,search,2024-03-20
87,2,checkout,2024-03-29
88,2,cancel,2024-01-20
89,2,login,2024-04-17
90,2,save_item,2024-03-05
91,2,search,2024-03-20
92,2,browse,2024-01-22
93,2,save_item,2024-02-28
94,2,cancel,2024-03-24
95,2,browse,2024-03-22
96,2,save_item,2024-04-20
97,2,login,2024-01-26
98,2,save_item,2024-04-13
99,2,search,2024-02-21
100,2,checkout,2024-01-25
101,2,browse,2024-03-31
102,2,browse,2024-02-16
103,2,login,2024-05-13
104,2,browse,2024-02-06
105,2,browse,2024-01-16
106,2,login,2024-01-16
107,2,save_item,2024-03-17
108,2,login,2024-01-31
109,2,browse,2024-01-29
110,2,save_item,2024-05-12
111,2,checkout,2024-04-18
112,2,save_item,2024-03-16
113,2,login,2024-03-04
114,2,cancel,2024-05-13
115,2,login,2024-02-17
116,2,checkout,2024-02-18
117,2,search,2024-03-18
118,2,save_item,2024-03-18
119,2,save_item,2024-01-25
120,2,save_item,2024-01-28
121,2,login,2024-02-18
122,2,login,2024-01-19
123,2,browse,2024-04-01
124,3,cancel,2024-05-28
125,3,checkout,2024-05-28
126,3,browse,2024-05-11
127,3,cancel,2024-03-14
128,3,search,2024-04-07
129,3,search,2024-05-02
130,3,browse,2024-03-25
131,3,browse,2024-06-19
132,3,login,2024-05-17
133,3,save_item,2024-06-12
134,3,browse,2024-04-20
135,3,save_item,2024-05-06
136,3,checkout,2024-05-11
137,3,checkout,2024-06-24
138,3,browse,2024-03-29
139,3,cancel,2024-06-02
140,3,cancel,2024-04-05
141,3,browse,2024-04-26
142,4,login,2024-05-16
143,4,search,2024-05-29
144,4,browse,2024-04-01
145,4,browse,2024-06-04
146,4,search,2024-04-29
147,4,cancel,2024-05-08
148,4,save_item,2024-06-18
149,4,checkout,2024-04-06
150,4,browse,2024-03-27
151,4,checkout,2024-05-29
152,4,login,2024-03-24
153,4,checkout,2024-07-15
154,4,checkout,2024-04-27
155,4,browse,2024-04-18
156,4,cancel,2024-04-02
157,4,search,2024-07-04
158,4,browse,2024-06-02
159,4,cancel,2024-06-20
160,4,cancel,2024-04-03
161,4,search,2024-07-04
162,4,login,2024-06-19
163,4,cancel,2024-07-04
164,4,login,2024-06-06
165,4,checkout,2024-07-12
166,4,login,2024-07-20
167,4,checkout,2024-07-06
168,4,save_item,2024-04-22
169,4,login,2024-07-18
170,4,cancel,2024-06-08
171,4,cancel,2024-06-16
172,4,login,2024-03-23
173,4,login,2024-04-12
174,4,login,2024-04-27
175,4,browse,2024-05-18
176,4,search,2024-05-15
177,4,save_item,2024-05-01
178,4,login,2024-05-08
179,4,login,2024-03-31
180,4,login,2024-05-18
181,4,login,2024-05-02
182,4,search,2024-07-16
183,5,browse,2024-03-16
184,5,save_item,2024-06-13
185,5,search,2024-03-31
186,5,browse,2024-05-12
187,5,login,2024-05-04
188,5,browse,2024-04-08
189,5,login,2024-05-23
190,5,browse,2024-04-16
191,5,login,2024-05-16
192,5,login,2024-04-09
193,5,browse,2024-06-07
194,5,cancel,2024-06-03
195,5,search,2024-05-02
196,5,login,2024-06-08
197,5,login,2024-05-14
198,5,search,2024-05-24
199,5,browse,2024-03-27
200,5,login,2024-05-04
201,5,browse,2024-06-05
202,5,login,2024-04-13
203,5,browse,2024-04-28
204,5,search,2024-03-30
205,5,login,2024-04-01
206,5,browse,2024-07-07
207,5,browse,2024-05-19
208,5,browse,2024-07-05
209,5,save_item,2024-04-21
210,5,login,2024-03-18
211,5,login,2024-04-12
212,5,browse,2024-03-17
213,5,checkout,2024-05-27
214,5,browse,2024-04-17
215,5,cancel,2024-06-09
216,5,save_item,2024-04-15
217,5,browse,2024-06-15
218,5,login,2024-05-10
219,5,login,2024-06-10
220,5,login,2024-05-25
221,5,search,2024-07-03
222,5,save_item,2024-05-04
223,5,save_item,2024-07-03
224,5,login,2024-04-18
225,5,search,2024-05-31
226,5,save_item,2024-04-29
227,5,checkout,2024-05-21
228,5,login,2024-05-07
229,5,browse,2024-06-17
230,5,login,2024-06-04
231,5,save_item,2024-03-21
232,5,login,2024-06-07
233,5,search,2024-04-02
234,5,save_item,2024-05-13
235,6,search,2024-05-25
236,6,login,2024-04-19
237,6,browse,2024-04-10
238,6,login,2024-08-05
239,6,browse,2024-04-13
240,6,browse,2024-07-11
241,6,login,2024-05-31
242,6,cancel,2024-08-02
243,6,login,2024-07-25
244,6,search,2024-06-21
245,6,checkout,2024-06-06
246,6,browse,2024-07-13
247,6,browse,2024-08-01
248,6,browse,2024-04-17
249,6,browse,2024-07-26
250,7,browse,2024-04-18
251,7,browse,2024-01-28
252,7,save_item,2024-04-20
253,7,login,2024-02-08
254,7,browse,2024-01-20
255,7,search,2024-02-13
256,7,login,2024-02-09
257,7,save_item,2024-02-08
258,7,login,2024-03-18
259,7,login,2024-04-17
260,7,checkout,2024-01-29
261,7,save_item,2024-01-08
262,7,search,2024-04-09
263,7,login,2024-02-24
264,7,save_item,2024-02-16
265,7,browse,2024-03-27
266,7,login,2024-02-17
267,7,save_item,2024-02-25
268,7,login,2024-02-22
269,7,login,2024-04-26
270,7,save_item,2024-01-23
271,7,browse,2024-01-13
272,7,save_item,2024-04-24
273,7,search,2024-04-15
274,7,browse,2024-04-09
275,7,checkout,2024-01-26
276,7,browse,2024-03-11
277,7,browse,2024-02-07
278,7,search,2024-03-25
279,7,save_item,2024-04-18
280,7,login,2024-04-20
281,7,save_item,2024-03-15
282,7,browse,2024-04-28
283,7,save_item,2024-02-11
